title,date,url,content
"RESOLUÇÃO Nº 11 DE 2023, DO ELO NACIONAL DA REDE SUSTENTABILIDADE",2023-10-31T00:00:00-03:00,https://redesustentabilidade.org.br/resolucao-no-11-de-2023-do-elo-nacional-da-rede-sustentabilidade/,Dispõe sobre a instalação dos Grupos de Trabalho (GTs) Eleitoral e dá outras providências.Resolução nº 11 de 2023 – Dispõe de Grupos de Trabalho (GTs) Eleitoral e dá outras providências.BaixarCompartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)
Nota da REDE Sustentabilidade sobre o primeiro turno das eleições na Argentina,2023-10-31T00:00:00-03:00,https://redesustentabilidade.org.br/nota-da-rede-sustentabilidade-sobre-o-primeiro-turno-das-eleicoes-na-argentina/,"Eleições na Argentina: Vitória do candidato Sérgio Massa no primeiro turno é uma vitória da democracia.A Rede Sustentabilidade acompanhou com grande interesse e preocupação as eleições presidenciais do nosso país irmão, a Argentina. Devido ao seu peso político, econômico e cultural, a Argentina é uma parceira crucial do Brasil na América Latina e no mundo. Com efeito, mergulhada em uma crise sem precedentes, as eleições gerais foram marcadas pelo crescimento da extrema direita.O candidato extremista, Javier Milei (com 30% dos votos), recebeu apoio aberto de Jair Bolsonaro e de uma grande parte do bolsonarismo, expresso publicamente em uma carta de parlamentares brasileiros. Felizmente, a maioria do povo argentino não se deixou levar pela propaganda enganosa e também aprendeu com a experiência que o Brasil sofreu com Jair Bolsonaro. Os argentinos têm apreço pela democracia, pela ciência do que significou a ditadura argentina com o não anistiamento de ditadores. O povo argentino deu ao Sérgio Massa 36% dos votos, garantindo a vitória do candidato do atual governo no primeiro turno.O crescimento de Sérgio Massa ocorre menos pelo sucesso de sua gestão na economia, mas sim pelo medo gerado pelo discurso de Javier Milei, que é um saudosista da ditadura militar, um negacionista das questões climáticas, que se define como anarcocapitalista e um defensor do armamentismo, o que tem fortes semelhanças com o ex-presidente brasileiro.Portanto, a Rede Sustentabilidade parabeniza o povo da Argentina e o candidato vitorioso no primeiro turno, e declara seu apoio à candidatura de Sérgio Massa, pelos valores do partido, pela defesa da democracia e da sustentabilidade em todos os seus níveis. Ela conclama as forças progressistas, democráticas e populares da Argentina a confirmarem no segundo turno a vitória de Sérgio Massa.A onda de extremismos, fundamentalismos e fascismos que ronda o mundo não pode prosperar. Precisamos derrotar a extrema direita na Argentina e no mundo para avançarmos na luta pela paz, pela justiça social, pela democracia e por um mundo sustentável.Elo (Direção) Nacional da Rede Sustentabilidade.Compartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)"
"RESOLUÇÃO Nº 10, DE 2023, DO ELO NACIONAL DA REDE SUSTENTABILIDADE",2023-10-16T00:00:00-03:00,https://redesustentabilidade.org.br/resolucao-no-10-de-2023-do-elo-nacional-da-rede-sustentabilidade/,"Dispõe sobre recursos em geral, para regular casos não expressamente disciplinados pelo Estatuto da Rede Sustentabilidade a este respeito e dá outras providênciasResolução 10_2023 – Recursos entre instânciasBaixarCompartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)"
NOTA DE REPÚDIO,2023-10-16T00:00:00-03:00,https://redesustentabilidade.org.br/nota-de-repudio/,"Pela aprovação do projeto de lei que proíbe o casamento homoafetivo na Comissão de Previdência, Assistência Social, Infância, Adolescência e Família da Câmara dos DeputadosA Executiva Nacional da Rede Sustentabilidade juntamente com o Elo LGBT+ repudia a aprovação do projeto de lei que proíbe o casamento homoafetivo na Comissão de Previdência, Assistência Social, Infância, Adolescência e Família.Essa votação de ontem, feita às pressas, com manobras e exclusão dos movimentos sociais só comprova para a nossa sociedade a irresponsabilidade daqueles que se dizem representantes do povo, e que, não conseguem considerar os amplos direitos civis dessa parcela tão marginalizada.Nós da Rede Sustentabilidade, repudiamos com força tal atitude e conclamamos nossos filiados/as/es, parlamentares e gestores públicos para não coadunarem com tamanho retrocesso nos direitos de uma importante parcela de nossa população, que diuturnamente é vilipendiada em todos os seus direitos, incluindo o direito de viver e de amar.A população LGBT+ neste momento não precisa só de nosso respeito, mas sobretudo, da nossa atuação, sociedade e agentes políticos defensores da democracia e da liberdade de cada um, para que não deixem a alienação ideológica ganhar espaço em detrimento da garantia social aos direitos das famílias, das vidas e dos amores das pessoas LGBT+.A atitude dos parlamentares fundamentalistas configura em mais uma tentativa de impor à câmara dos deputados a pecha de não legislar e resguardar os direitos conquistados pela população LGBT+ .As duras lutas travadas pela população LGBT+ merece respeito e escuta atenta de todos os parlamentares, reafirmamos o nosso compromisso, de não aceitarmos nenhum retrocesso, nenhuma subordinação a qualquer imposição que a heterocisnormatividade venha fazer a essa importante comunidade.A Rede Sustentabilidade entende que não há nenhum ecossistema saudável com apenas uma espécie de bioma, dessa forma estará vigilante na defesa das pluralidades, sejam elas ambientais, sexuais e/ou humanas, como sentinelas acompanharemos de perto os desdobramentos vindouros e cobraremos de cada instância política que se posicione e que deixe nas páginas do passado a vil exclusão e violência que mutila milhares de vida, simplesmente pela sua forma de amar.Resistiremos pelo direito de Ser, Amar e Constituir nossas Famílias.Executiva Nacional da Rede SustentabilidadeElo Nacional LGBT+Compartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)"
Nota da REDE Sustentabilidade Pela Paz no Oriente Médio,2023-10-09T00:00:00-03:00,https://redesustentabilidade.org.br/nota-da-rede-sustentabilidade-pela-paz-no-oriente-medio/,"O mundo foi surpreendido por confrontos abertos entre o Hamas e o Estado de Israel, com perdas irreparáveis de vidas de judeus e palestinos.O fato é que a histórica situação de opressão e violações em que vive o povo palestino, submetida pelo Estado de Israel e agravada pelo governo de Benjamin Netanyahu, o mais à direita de sua história e sendo composto por ultraortodoxos fundamentalistas, conservadores e a extrema-direita, criaram as condições necessárias para a ascensão do também fundamentalista Hamas e a triste conjuntura atual de confrontos armados, destruição e mortes.Reafirmamos a posição histórica da Rede Sustentabilidade na defesa do reconhecimento dos Estados da Palestina e de Israel na região, bem como solução pacífica para o conflito.Repudiamos os assassinatos e violências à população de Israel e da Palestina.Ratificamos também a nossa condenação ao terrorismo e ao fundamentalismo promovidos pelo governo de Benjamin Netanyahu e pelo Hamas, atacando a população civil da Palestina e de Israel.Confiamos que a ONU e o governo brasileiro assumirão posicionamento para buscar a paz duradoura na região.Todas as vidas importam!!!Por uma saída pacífica para o conflito!Em defesa da paz no oriente médio e no mundo!Pelo reconhecimento do Estado Palestino!Executiva Nacional da Rede SustentabilidadeCompartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)"
"Resolução nº 09, de 2023 do Elo Nacional da Rede Sustentabilidade",2023-10-04T00:00:00-03:00,https://redesustentabilidade.org.br/resolucao-no-09-de-2023-do-elo-nacional-da-rede-sustentabilidade/,"Estabelece e cria mecanismos de combate, prevenção e repressão a Violência Política de Gênero em atendimento ao artigo 7º da Lei 14.192/2021.Resolução n 09 de 2023 do Elo Nacional da Rede SustentabilidadeBaixarCompartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)"
"Resolução nº08, de 2023, do Elo Nacional da Rede Sustentabilidade",2023-10-04T00:00:00-03:00,https://redesustentabilidade.org.br/resolucao-no-08-de-2023-do-elo-nacionalda-rede-sustentabilidade/,"Dispõe sobre recomposição da Executiva em caso de vacância.Resolução nº 08, de 2023 do Elo Nacional da Rede Sustentabilidade – Recomposição da executiva em caso de vacânciaBaixarCompartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)"
Resolução Elo Nacional nº06/2023 do Elo Nacional da REDE Sustentabilidade,2023-09-27T00:00:00-03:00,https://redesustentabilidade.org.br/resolucao-elo-nacional-no06-2023-do-elo-nacional-da-rede-sustentabilidade/,Dispõe sobre o Procedimento de autorização e lançamento de pagamentos por parte da tesouraria e dos porta-vozes nacionaisResolucao-no-06-23-Elo-Nacional-Procedimento-de-Autorizacao-e-Lancamento-de-pagamentos-1BaixarCompartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)
"RESOLUÇÃO N° 05, DE 2023, DO ELO NACIONAL DA REDE SUSTENTABILIDADE",2023-09-27T00:00:00-03:00,https://redesustentabilidade.org.br/resolucao-n-05-de-2023-do-elo-nacional-da-rede-sustentabilidade/,Dispõe sobre a distribuição de valores do Fundo Partidário às Unidades Federativas com direção constituída da REDE Sustentabilidade e dá outras providênciasResolucao-no-05-de-2023-Distribuicao-do-Fundo-Partidario-2BaixarCompartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)
Sustentabilidade para União e Reconstrução do Brasil,2023-05-24T00:00:00-03:00,https://redesustentabilidade.org.br/nota-da-rede-sustentabilidade-frente-a-tentativa-do-congresso-de-desmonte-no-meio-ambiente-e-a-construcao-de-politicas-sustentaveis-para-o-pais/," O Brasil necessita avançar na construção de políticas públicas sustentáveis para o país. Qualquer tentativa de desmonte do Sistema Nacional do Meio Ambiente e seus órgãos é um grave risco ao futuro do Brasil.O Presidente Lula, em seu programa de campanha, reforçou a necessidade de sustentabilidade em todos os biomas e propôs realizar transição ecológica, energética e climática, com participação popular para o país se inserir de forma qualificada no enfrentamento e adaptação à grave crise climática que o mundo atravessa.A Rede Sustentabilidade nasceu como um partido que deseja enfrentar esse problema de forma consequente. Nesse sentido, temos a obrigação, como uma força política que apoia o Presidente Lula desde a primeira hora, que ajudou na construção de seu programa e que participa do esforço de governo, de defender alternativas sustentáveis. Nossa meta é inverter as prioridades da matriz energética e conduzir a modos de vida sustentáveis, em sintonia com os compromissos globais da temática das mudanças climáticas. Entendemos que, para tanto, se faz necessário gradativamente reduzir a demanda e, consequentemente, a produção de combustíveis fósseis, como o petróleo.Coerentes com as diretrizes do programa de governo que alicerçou a vitória de Lula, devemos investir e apoiar um novo modelo de desenvolvimento que proteja as florestas, suas comunidades, povos e comunidades tradicionais, gere emprego e renda de forma sustentável. Sempre defenderemos os territórios da volúpia do lucro a qualquer custo, em particular nas terras indígenas, quilombolas e nas unidades de conservação. Ajustes no arcabouço fiscal em debate, que não atendam somente aos mercados convencionais, mas incluam o fomento à economia descarbonizada e à desconcentração da renda, serão ações governamentais socialmente mais efetivas e ambientalmente mais corretas. A distribuição de recursos aos estados amazônicos, gerados pela regulamentação da venda de créditos de carbono por reservas petrolíferas não exploradas, pode ser uma dessas medidas.Ressaltamos a acertada posição de hoje do Governo Lula em adotar a avaliação ambiental estratégica como instrumento importante para a avaliação das áreas ambientalmente sensíveis, a exemplo da questão da exploração de petróleo na foz do Amazonas.A Rede Sustentabilidade entende que cabe aos órgãos da administração pública, em todas as esferas, inclusive do Sistema Nacional do Meio Ambiente – SISNAMA, a devida autonomia para posicionamento técnico, sem interferências políticas, econômicas ou de quaisquer natureza. Os argumentos apresentados pelo IBAMA para indeferir o pedido de licença da PETROBRAS são fundamentados com considerações técnicas que devem ser devidamente reconhecidas em cumprimento à legislação ambiental nacional. O posicionamento do IBAMA não é contrário à atividade econômica em si. A necessidade de estudos complementares se justifica principalmente pela grande distância das infraestruturas previstas para resgate e contenção de vazamentos em caso de emergências, pelas fortes correntes marítimas e pela incerteza quanto aos impactos ambientais em uma região pouco conhecida, mas de frágil equilíbrio ambiental e com preciosa diversidade natural.É fundamental obter todas as informações e estudos necessários, inclusive sobre as reservas, para embasar decisões que conciliem o desenvolvimento econômico com a preservação ambiental, em respeito às normativas ambientais construídas e consolidadas no Estado de DireitoA Rede Sustentabilidade está unida e empenhada na defesa de uma política socioambiental que coloque o Brasil como liderança mundial no enfrentamento da crise ambiental planetária, sem deixar de proteger os seus territórios e sua população, trabalhando com inovação e inteligência para um Brasil sem fome, sem miséria e com menos desigualdades, líder global incontestável na pauta da sustentabilidade.É impossível atingir este objetivo com um eventual desmonte do Sistema Nacional de Meio Ambiente, como proposto pela MP 1.154/2023.A responsabilidade do Congresso Nacional é central. Não podemos admitir retrocessos depois dos últimos quatro anos de desmonte. Querer retomar a pauta do governo passado neste momento é absurdo! O Congresso Nacional precisa urgentemente rever a proposta da MP 1.154/2023.Não admitimos o esfacelamento do SISNAMA, as políticas de água, clima, floresta e biodiversidade precisam estar articuladas na garantia do meio ambiente ecologicamente equilibrado para as presentes e futuras gerações.Manifestamos nosso repúdio a qualquer iniciativa que retire atribuições fundamentais ao Ministério do Meio Ambiente ou a seus órgãos executores e colegiados.Nada de retrocessos! Avançar na agenda da sustentabilidade como parte da reconstrução do Brasil!Reafirmamos nossa confiança na liderança da Ministra Marina Silva no MMA e do Presidente Lula para conduzir os desafios ambientais do país neste momento de grave ameaça.Compartilhe isso:Clique para compartilhar no WhatsApp(abre em nova janela)Clique para compartilhar no Facebook(abre em nova janela)Clique para compartilhar no Twitter(abre em nova janela)Clique para compartilhar no Telegram(abre em nova janela)"
